,obs,acts,infos,terminal,rews
0,"[ 9 10 11  0  4 14  1 13 13 13 13 14  5 10 11  1  1 13 10 10  0  8 15  6
  0  1 14 12 14 15  5  9 11  8  2 11  7 13 12  8 10  3  2  1  1 11 15 14
 13  7  8  7 13 11  4  3  6  5  5  4 12 13 15  1 15  2 10 13  6  5 12  6
  5 12 12  3  7  3  5 14  4  2 15 11 14 12 10  7 13  4 12 12  9  4  9  2
  3  3  7  8  3]","[0 3 2 1 2 3 1 0 0 0 1 2 3 0 3 2 3 0 3 3 3 3 0 0 0 0 3 1 2 2 0 3 2 3 3 3 1
 0 2 0 0 2 2 2 0 1 0 3 3 1 0 1 0 3 2 1 0 3 0 0 1 2 1 0 2 0 3 1 1 3 3 3 3 1
 3 2 0 1 3 1 3 2 3 2 1 3 0 1 3 3 3 1 2 0 3 1 1 1 2 1]",,True,"[70.90725778  2.15844943 97.09098522 37.55401188 15.70186404 18.28249672
 95.17143064 21.23391107 21.23391107 21.23391107 21.33391107 18.28249672
 15.69945203  2.15844943 97.09098522 95.07143064 95.17143064 21.33391107
  2.05844943  2.15844943 37.55401188 60.21150117 18.44045099  5.90836122
 37.55401188 95.17143064 18.28249672 83.34426408 18.28249672 18.44045099
 15.69945203 70.90725778 97.09098522 60.21150117 73.29939418 97.09098522
 86.71761458 21.33391107 83.34426408 60.21150117  2.15844943 59.96584842
 73.29939418 95.07143064 95.17143064 97.09098522 18.44045099 18.28249672
 21.33391107 86.71761458 60.21150117 86.71761458 21.33391107 97.09098522
 15.70186404 59.96584842  5.90836122 15.59945203 15.69945203 15.70186404
 83.34426408 21.33391107 18.44045099 95.17143064 18.44045099 73.29939418
  2.15844943 21.33391107  5.90836122 15.69945203 83.34426408  5.90836122
 15.69945203 83.24426408 83.34426408 59.96584842 86.71761458 59.96584842
 15.69945203 18.28249672 15.70186404 73.29939418 18.44045099 97.09098522
 18.28249672 83.34426408  2.15844943 86.71761458 21.33391107 15.70186404
 83.24426408 83.34426408 70.90725778 15.70186404 70.90725778 73.29939418
 59.86584842 59.96584842 86.71761458 60.21150117]"
1,"[ 0  6  5 12  0  5  0  1 10  1 11  1  9 15 10  2  1  0 14  5 15 13 13  3
 12  4  9  0  3  7 11 11 11  3  4 12 11  4 12 13  3  8  0  7  3  5 12 13
 10  8  0 14  7  1  3 13 13  9 10  1 10 12  1  6  1 11  5  3  6  8  4  8
  7 14  1  4  5  6  1  1  1  3 12  9  0  8 10  4  5 14 10  6  6  3 15 11
 15 15  1 12 15]","[1 0 2 3 3 2 1 2 1 1 0 2 0 1 0 1 1 0 3 3 1 2 1 3 1 0 3 0 0 2 1 0 2 0 1 3 0
 1 3 1 1 0 2 3 3 1 0 3 0 2 0 0 1 0 3 2 0 0 0 0 3 1 3 2 0 2 3 0 1 1 0 0 3 2
 2 1 1 2 1 3 2 1 3 3 2 2 3 1 2 2 2 3 2 1 3 1 3 2 2 2]",,True,"[37.55401188  5.90836122 15.69945203 83.34426408 37.55401188 15.69945203
 37.55401188 95.17143064  2.15844943 95.17143064 97.09098522 95.17143064
 70.90725778 18.44045099  2.15844943 73.29939418 95.17143064 37.55401188
 18.28249672 15.69945203 18.44045099 21.23391107 21.33391107 59.96584842
 83.34426408 15.70186404 70.90725778 37.55401188 59.96584842 86.71761458
 96.99098522 96.99098522 97.09098522 59.96584842 15.70186404 83.34426408
 97.09098522 15.70186404 83.34426408 21.33391107 59.96584842 60.21150117
 37.55401188 86.71761458 59.96584842 15.69945203 83.34426408 21.33391107
  2.15844943 60.21150117 37.55401188 18.28249672 86.71761458 95.17143064
 59.96584842 21.23391107 21.33391107 70.90725778  2.15844943 95.17143064
  2.15844943 83.34426408 95.17143064  5.90836122 95.17143064 97.09098522
 15.69945203 59.96584842  5.90836122 60.21150117 15.70186404 60.21150117
 86.71761458 18.28249672 95.17143064 15.70186404 15.69945203  5.90836122
 95.07143064 95.07143064 95.17143064 59.96584842 83.34426408 70.90725778
 37.55401188 60.21150117  2.15844943 15.70186404 15.69945203 18.28249672
  2.15844943  5.80836122  5.90836122 59.96584842 18.44045099 97.09098522
 18.34045099 18.44045099 95.17143064 83.34426408]"
2,"[ 1  3  2  9  0  0  8  3 13  8 11 12  7  4  7  2  9  0 10 12 15  0 15 11
  3  8  9  5  7 13  4  3 12 13  6 12  6  0 11  0 14 12  5  1 14  9 12  1
  6  0 15  9  1  0  3  2 10 14  7 11 12  9 10 14 10  7 12  3 13  9  1  0
  2  4  9  7  6  3  3  8 11 10 14  1 14 11  4  7 15 12  4  3 12  2 11  5
  0 11 10 10  6]","[0 3 2 3 0 0 1 1 2 3 0 0 2 3 1 3 2 0 0 2 2 3 1 3 0 3 2 2 0 1 0 0 2 1 2 2 1
 2 2 2 2 3 1 1 0 2 0 3 1 3 0 3 0 1 0 3 3 1 0 1 0 0 2 3 1 0 3 3 0 1 3 3 0 3
 0 0 1 1 2 1 1 0 1 3 3 0 2 3 0 0 2 3 0 2 2 3 2 0 1 3]",,True,"[95.17143064 59.96584842 73.29939418 70.90725778 37.45401188 37.55401188
 60.21150117 59.96584842 21.33391107 60.21150117 97.09098522 83.34426408
 86.71761458 15.70186404 86.71761458 73.29939418 70.90725778 37.55401188
  2.15844943 83.34426408 18.44045099 37.55401188 18.44045099 97.09098522
 59.96584842 60.21150117 70.90725778 15.69945203 86.71761458 21.33391107
 15.70186404 59.96584842 83.34426408 21.33391107  5.90836122 83.34426408
  5.90836122 37.55401188 97.09098522 37.55401188 18.28249672 83.34426408
 15.69945203 95.17143064 18.28249672 70.90725778 83.34426408 95.17143064
  5.90836122 37.55401188 18.44045099 70.90725778 95.17143064 37.55401188
 59.96584842 73.29939418  2.15844943 18.28249672 86.71761458 97.09098522
 83.34426408 70.90725778  2.15844943 18.28249672  2.15844943 86.71761458
 83.34426408 59.96584842 21.33391107 70.90725778 95.17143064 37.55401188
 73.29939418 15.70186404 70.90725778 86.71761458  5.90836122 59.86584842
 59.96584842 60.21150117 97.09098522  2.15844943 18.28249672 95.17143064
 18.28249672 97.09098522 15.70186404 86.71761458 18.44045099 83.34426408
 15.70186404 59.96584842 83.34426408 73.29939418 97.09098522 15.69945203
 37.55401188 97.09098522  2.05844943  2.15844943]"
3,"[12 12 10 14  0 13  4 14  6 15 10 14 10  3  4 13 15  9 11 13  8  7 10 11
  8  3  7  2 10  6 13  2  9  6  6  3 12  0  3 10 13  8 11 14 11  8  4  1
 11  9  4 11  4 12 13 11  5  0  7  4  9  6 10 15  2  7 14  3 13  8  6  6
  3 14  3  0 13 15 10 14  5  1  8 13  1 11  1 15 14  2 15 13  8 11 13  6
 10  5  2  6  6]","[3 2 2 3 2 3 0 2 1 1 1 0 0 0 1 3 0 1 2 2 0 3 2 1 0 2 2 3 3 1 0 2 3 1 3 2 3
 1 2 0 2 3 0 2 1 0 1 3 0 0 2 2 3 3 0 3 1 1 2 1 0 1 0 1 1 3 1 0 3 0 2 1 3 2
 3 0 0 2 3 1 3 2 3 2 0 3 1 3 0 3 2 2 0 2 1 0 3 2 3 3]",,True,"[83.24426408 83.34426408  2.15844943 18.28249672 37.55401188 21.33391107
 15.70186404 18.28249672  5.90836122 18.44045099  2.15844943 18.28249672
  2.15844943 59.96584842 15.70186404 21.33391107 18.44045099 70.90725778
 97.09098522 21.33391107 60.21150117 86.71761458  2.15844943 97.09098522
 60.21150117 59.96584842 86.71761458 73.29939418  2.15844943  5.90836122
 21.33391107 73.29939418 70.90725778  5.80836122  5.90836122 59.96584842
 83.34426408 37.55401188 59.96584842  2.15844943 21.33391107 60.21150117
 97.09098522 18.28249672 97.09098522 60.21150117 15.70186404 95.17143064
 97.09098522 70.90725778 15.70186404 97.09098522 15.70186404 83.34426408
 21.33391107 97.09098522 15.69945203 37.55401188 86.71761458 15.70186404
 70.90725778  5.90836122  2.15844943 18.44045099 73.29939418 86.71761458
 18.28249672 59.96584842 21.33391107 60.21150117  5.80836122  5.90836122
 59.96584842 18.28249672 59.96584842 37.55401188 21.33391107 18.44045099
  2.15844943 18.28249672 15.69945203 95.17143064 60.21150117 21.33391107
 95.17143064 97.09098522 95.17143064 18.44045099 18.28249672 73.29939418
 18.44045099 21.33391107 60.21150117 97.09098522 21.33391107  5.90836122
  2.15844943 15.69945203 73.29939418  5.80836122]"
4,"[13  2  5 12  5  6 13  7  0  0 14  1  2  1  6  1  0  3  1  1 13  4  9 13
  4 14  5  4 13  3 11  9  1  3  6 14  1  1 14 13  6 15  6  9  5  7 10  9
 14 15 12  4  2 13 11  3 13  0 13 10  6 13  8 10 12  7  9  0  4  7  7 14
 10 10  3  8  7  1 10  5  3  5 11  7  7 15  1  5  3  7  8  6 15  4 13 11
  1 15  8 15  5]","[2 1 0 3 1 3 1 0 3 3 1 3 1 2 0 1 3 1 3 2 1 2 1 1 2 2 1 0 0 0 3 2 1 0 2 1 3
 3 2 3 2 1 0 1 0 1 0 0 1 2 2 0 1 1 2 2 0 2 3 2 1 3 0 0 0 0 2 1 2 0 3 1 1 2
 1 2 0 0 2 2 0 3 2 1 3 2 1 2 3 2 2 0 1 0 1 1 2 2 2 0]",,True,"[21.33391107 73.29939418 15.69945203 83.34426408 15.69945203  5.90836122
 21.33391107 86.71761458 37.45401188 37.55401188 18.28249672 95.17143064
 73.29939418 95.17143064  5.90836122 95.17143064 37.55401188 59.96584842
 95.07143064 95.17143064 21.33391107 15.70186404 70.90725778 21.33391107
 15.70186404 18.28249672 15.69945203 15.70186404 21.33391107 59.96584842
 97.09098522 70.90725778 95.17143064 59.96584842  5.90836122 18.28249672
 95.07143064 95.17143064 18.28249672 21.33391107  5.90836122 18.44045099
  5.90836122 70.90725778 15.69945203 86.71761458  2.15844943 70.90725778
 18.28249672 18.44045099 83.34426408 15.70186404 73.29939418 21.33391107
 97.09098522 59.96584842 21.33391107 37.55401188 21.33391107  2.15844943
  5.90836122 21.33391107 60.21150117  2.15844943 83.34426408 86.71761458
 70.90725778 37.55401188 15.70186404 86.61761458 86.71761458 18.28249672
  2.05844943  2.15844943 59.96584842 60.21150117 86.71761458 95.17143064
  2.15844943 15.69945203 59.96584842 15.69945203 97.09098522 86.61761458
 86.71761458 18.44045099 95.17143064 15.69945203 59.96584842 86.71761458
 60.21150117  5.90836122 18.44045099 15.70186404 21.33391107 97.09098522
 95.17143064 18.44045099 60.21150117 18.44045099]"
5,"[ 6  1  7  9  9  0 10  8 12 13 12 12  7 14  9  9  6  3 12 11  0  0 11  0
  8  7  7 13 11  9  7  5  1 14 13 15  2  3 13  8  5  6 15 15  5  2  1  8
 10  2  8 12 14 13  7  5 13  9 13  0 14 10  8  5  0  3 12  3  5  1  8 12
  5  3  7 10 14 11 10  6 15 12  7  8 13 11 11  6  3 12  3 11 10  1  4  9
  7 15  2  5  4]","[2 1 2 3 1 1 0 2 2 1 1 2 3 3 3 1 1 0 2 0 1 0 3 1 2 1 3 1 3 1 2 2 3 0 0 0 0
 1 1 2 1 0 1 3 1 1 1 1 1 3 3 3 0 2 1 3 0 0 1 0 3 0 1 0 1 3 3 2 1 3 0 2 1 2
 2 3 2 3 2 2 0 0 2 0 0 0 1 2 0 2 3 0 0 0 1 2 1 0 2 2]",,True,"[ 5.90836122 95.17143064 86.71761458 70.80725778 70.90725778 37.55401188
  2.15844943 60.21150117 83.34426408 21.33391107 83.24426408 83.34426408
 86.71761458 18.28249672 70.80725778 70.90725778  5.90836122 59.96584842
 83.34426408 97.09098522 37.45401188 37.55401188 97.09098522 37.55401188
 60.21150117 86.61761458 86.71761458 21.33391107 97.09098522 70.90725778
 86.71761458 15.69945203 95.17143064 18.28249672 21.33391107 18.44045099
 73.29939418 59.96584842 21.33391107 60.21150117 15.69945203  5.90836122
 18.34045099 18.44045099 15.69945203 73.29939418 95.17143064 60.21150117
  2.15844943 73.29939418 60.21150117 83.34426408 18.28249672 21.33391107
 86.71761458 15.69945203 21.33391107 70.90725778 21.33391107 37.55401188
 18.28249672  2.15844943 60.21150117 15.69945203 37.55401188 59.96584842
 83.34426408 59.96584842 15.69945203 95.17143064 60.21150117 83.34426408
 15.69945203 59.96584842 86.71761458  2.15844943 18.28249672 97.09098522
  2.15844943  5.90836122 18.44045099 83.34426408 86.71761458 60.21150117
 21.33391107 96.99098522 97.09098522  5.90836122 59.96584842 83.34426408
 59.96584842 97.09098522  2.15844943 95.17143064 15.70186404 70.90725778
 86.71761458 18.44045099 73.29939418 15.69945203]"
6,"[ 6  0 10 14  5 15  5  1 10  5  3  7 11  4 15  6  7  6 15  8  4 14  7  4
 14  3  3  2  3 11 12 12  8 12  7  0  3  7 14  3  1 12  1 12  0 15 10  8
  2  3  1  1  9  2 14 12 14  4  6 13 12 15  6  5 10 12  8 11 14 12  5  1
  9 15 12  5  5 11  4  3  3 10  2 13 14 13  8  5 14  1  8  0 13  2  8  4
 13  2  3  7  1]","[0 3 2 2 3 2 2 1 0 2 1 1 2 1 2 2 2 1 2 3 3 1 2 0 3 0 2 0 2 2 1 2 0 2 2 3 3
 2 1 1 0 1 3 1 3 1 1 0 2 0 2 2 1 2 2 1 2 3 2 1 0 2 3 2 1 1 1 0 2 1 2 3 2 3
 0 0 2 0 1 1 3 3 1 0 1 3 0 3 0 1 3 2 0 0 2 2 0 3 3 3]",,True,"[ 5.90836122 37.55401188  2.15844943 18.28249672 15.69945203 18.44045099
 15.69945203 95.17143064  2.15844943 15.69945203 59.96584842 86.71761458
 97.09098522 15.70186404 18.44045099  5.90836122 86.71761458  5.90836122
 18.44045099 60.21150117 15.70186404 18.28249672 86.71761458 15.70186404
 18.28249672 59.86584842 59.96584842 73.29939418 59.96584842 97.09098522
 83.24426408 83.34426408 60.21150117 83.34426408 86.71761458 37.55401188
 59.96584842 86.71761458 18.28249672 59.96584842 95.17143064 83.34426408
 95.17143064 83.34426408 37.55401188 18.44045099  2.15844943 60.21150117
 73.29939418 59.96584842 95.07143064 95.17143064 70.90725778 73.29939418
 18.28249672 83.34426408 18.28249672 15.70186404  5.90836122 21.33391107
 83.34426408 18.44045099  5.90836122 15.69945203  2.15844943 83.34426408
 60.21150117 97.09098522 18.28249672 83.34426408 15.69945203 95.17143064
 70.90725778 18.44045099 83.34426408 15.59945203 15.69945203 97.09098522
 15.70186404 59.86584842 59.96584842  2.15844943 73.29939418 21.33391107
 18.28249672 21.33391107 60.21150117 15.69945203 18.28249672 95.17143064
 60.21150117 37.55401188 21.33391107 73.29939418 60.21150117 15.70186404
 21.33391107 73.29939418 59.96584842 86.71761458]"
7,"[ 2  1 11 14  1 10  5  9 15  0  3 10  4  5 11  1  8  9 15  7  7 15  8  9
  0  8  4 10  2  3  0 10  1  3  6  4 11  8  9 12 14 14  7  2 12  9 15  5
  4  5  5  0 11 10 10  5  1  3  0  6  8  2  8 10  2 14  3  5  4  0  9 12
  7  6 10  3 10  1  5  0  0  5  7  9 10  3 14  5  1  8  4 10 13 11 11  0
  6 14  2 14  8]","[3 2 1 1 0 3 2 0 3 3 2 1 1 2 3 3 0 0 3 0 1 3 3 0 1 1 1 1 2 3 3 3 0 1 3 0 2
 3 2 1 1 1 1 1 0 0 0 0 1 0 3 0 2 1 0 1 3 0 1 3 2 0 0 1 1 2 3 2 3 1 2 0 1 2
 2 0 0 0 1 1 2 0 3 1 2 0 2 2 3 2 1 0 0 1 1 2 3 1 3 1]",,True,"[73.29939418 95.17143064 97.09098522 18.28249672 95.17143064  2.15844943
 15.69945203 70.90725778 18.44045099 37.55401188 59.96584842  2.15844943
 15.70186404 15.69945203 97.09098522 95.17143064 60.21150117 70.90725778
 18.44045099 86.61761458 86.71761458 18.44045099 60.21150117 70.90725778
 37.55401188 60.21150117 15.70186404  2.15844943 73.29939418 59.96584842
 37.55401188  2.15844943 95.17143064 59.96584842  5.90836122 15.70186404
 97.09098522 60.21150117 70.90725778 83.34426408 18.18249672 18.28249672
 86.71761458 73.29939418 83.34426408 70.90725778 18.44045099 15.69945203
 15.70186404 15.59945203 15.69945203 37.55401188 97.09098522  2.05844943
  2.15844943 15.69945203 95.17143064 59.96584842 37.55401188  5.90836122
 60.21150117 73.29939418 60.21150117  2.15844943 73.29939418 18.28249672
 59.96584842 15.69945203 15.70186404 37.55401188 70.90725778 83.34426408
 86.71761458  5.90836122  2.15844943 59.96584842  2.15844943 95.17143064
 15.69945203 37.45401188 37.55401188 15.69945203 86.71761458 70.90725778
  2.15844943 59.96584842 18.28249672 15.69945203 95.17143064 60.21150117
 15.70186404  2.15844943 21.33391107 96.99098522 97.09098522 37.55401188
  5.90836122 18.28249672 73.29939418 18.28249672]"
8,"[ 0 11  5 10  5  0  0 11  9  3 14  7 15  2  0  0  3  9  1  9 12  6 12  1
  4 15  5  3 10  2 11 12  1 12  0 13  0 13  4  0  8  4 10  5 12  3  1  9
  2  7 14  3  3  4 13  6  8  8  8  5  4  4 10 13 11  5 15 15 10  4 11 11
  6  5  4  7 13  0  2  1  0 13  8 14 10 11 14 13 13  2  4  4 10  6  0  2
  9 11  7  6  7]","[0 3 2 3 3 0 2 0 2 0 1 3 0 3 3 1 2 3 3 3 3 3 0 2 0 1 0 3 3 1 3 0 2 1 2 1 0
 1 3 0 0 3 1 1 0 0 1 1 1 1 0 0 1 3 0 3 1 1 2 3 2 2 0 3 1 0 2 0 2 2 2 2 1 3
 0 2 2 3 1 1 2 3 1 3 0 2 1 0 0 3 3 1 2 0 2 0 1 2 2 1]",,True,"[37.55401188 97.09098522 15.69945203  2.15844943 15.69945203 37.45401188
 37.55401188 97.09098522 70.90725778 59.96584842 18.28249672 86.71761458
 18.44045099 73.29939418 37.45401188 37.55401188 59.96584842 70.90725778
 95.17143064 70.90725778 83.34426408  5.90836122 83.34426408 95.17143064
 15.70186404 18.44045099 15.69945203 59.96584842  2.15844943 73.29939418
 97.09098522 83.34426408 95.17143064 83.34426408 37.55401188 21.33391107
 37.55401188 21.33391107 15.70186404 37.55401188 60.21150117 15.70186404
  2.15844943 15.69945203 83.34426408 59.96584842 95.17143064 70.90725778
 73.29939418 86.71761458 18.28249672 59.86584842 59.96584842 15.70186404
 21.33391107  5.90836122 60.11150117 60.11150117 60.21150117 15.69945203
 15.60186404 15.70186404  2.15844943 21.33391107 97.09098522 15.69945203
 18.34045099 18.44045099  2.15844943 15.70186404 96.99098522 97.09098522
  5.90836122 15.69945203 15.70186404 86.71761458 21.33391107 37.55401188
 73.29939418 95.17143064 37.55401188 21.33391107 60.21150117 18.28249672
  2.15844943 97.09098522 18.28249672 21.23391107 21.33391107 73.29939418
 15.60186404 15.70186404  2.15844943  5.90836122 37.55401188 73.29939418
 70.90725778 97.09098522 86.71761458  5.90836122]"
9,"[ 8  4  4  0  5 10 14  1 12 14 15  9 14 12  9 12 10  8  2  3 14 13 14 12
 12 13 13 10 12  1 10  1 10  2 14  9  7  5  5 13 13 14  6  7  9  3  8 11
  5 13 13 11  0  0  5  2  8 15 10  5  6  3  9  9  0  3 14  4 11 11 14 15
  5  2 15 13  3 14 13 13  9  1 13 10  3  9  7  9  4  6 11  5  9  7 14  8
 14 13 14  6  3]","[0 0 2 0 2 3 3 1 0 2 2 1 2 0 1 0 1 2 2 0 2 3 2 1 1 2 3 2 1 1 3 3 3 0 3 0 3
 0 2 2 0 3 0 2 0 2 3 1 1 0 2 3 3 1 3 0 1 1 2 0 3 0 3 3 1 0 3 3 1 1 1 1 3 3
 0 0 3 1 3 3 1 1 1 2 0 0 3 3 2 3 3 1 2 3 2 3 0 3 3 2]",,True,"[60.21150117 15.60186404 15.70186404 37.55401188 15.69945203  2.15844943
 18.28249672 95.17143064 83.34426408 18.28249672 18.44045099 70.90725778
 18.28249672 83.34426408 70.90725778 83.34426408  2.15844943 60.21150117
 73.29939418 59.96584842 18.28249672 21.33391107 18.28249672 83.24426408
 83.34426408 21.23391107 21.33391107  2.15844943 83.34426408 95.17143064
  2.15844943 95.17143064  2.15844943 73.29939418 18.28249672 70.90725778
 86.71761458 15.59945203 15.69945203 21.23391107 21.33391107 18.28249672
  5.90836122 86.71761458 70.90725778 59.96584842 60.21150117 97.09098522
 15.69945203 21.23391107 21.33391107 97.09098522 37.45401188 37.55401188
 15.69945203 73.29939418 60.21150117 18.44045099  2.15844943 15.69945203
  5.90836122 59.96584842 70.80725778 70.90725778 37.55401188 59.96584842
 18.28249672 15.70186404 96.99098522 97.09098522 18.28249672 18.44045099
 15.69945203 73.29939418 18.44045099 21.33391107 59.96584842 18.28249672
 21.23391107 21.33391107 70.90725778 95.17143064 21.33391107  2.15844943
 59.96584842 70.90725778 86.71761458 70.90725778 15.70186404  5.90836122
 97.09098522 15.69945203 70.90725778 86.71761458 18.28249672 60.21150117
 18.28249672 21.33391107 18.28249672  5.90836122]"
